CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
8977,Person,James,Baker,,2020-01-19 00:00:00,walkerjeremy@long.org,hfoster@yahoo.com,,Student Scholar,,,,
2798,Person,Jessica,Sheppard,,2019-08-20 00:00:00,tarasanchez@robinson.com,cgreen@hotmail.com,Graphic Designer,"Major Donor, Summer 2016",Job Title: Graphic Designer; Marital Status: Married,,,
3660,Person,,,Vaughn LLC,2018-03-20 00:00:00,wcochran@hotmail.com,mckeeeric@ellis.com,,Summer 2016,Marital Status: Married,,,
5966,Person,Jared,Burns,,2024-04-24 00:00:00,frazierjanice@gmaill.com,gmartinez@koch.org,Administrative Assistant,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant; Marital Status: Single,$13100.00,2024-02-14 00:00:00,$10000.00
5034,Person,Courtney,Haney,Lawrence LLC,2017-07-02 00:00:00,,,,Pitch Perfect,,$1500.00,2022-07-25 00:00:00,$250.00
5287,Person,,,Retired,2021-10-30 00:00:00,theodorewilson@blair.com,stephenweeks@barron.com,,"Student Scholar, Major Donor, Board Member",,$9000.00,2023-08-15 00:00:00,$5000.00
8101,Person,James,Pope,,2019-05-09 00:00:00,howardcarlos@gmail.com,,Sales Executive,,Job Title: Sales Executive; Marital Status: Married,$4500.00,2023-04-02 00:00:00,$500.00
8548,Person,Nicholas,Cooper,,2022-09-25 00:00:00,laurenfields@yahoo.com,oserrano@hotmail.com,,"Board Member, Pitch Perfect, Summer 2016",,$6500.00,2022-01-01 00:00:00,$500.00
7040,Person,Patrick,Woods,,2022-04-19 00:00:00,vanessa45@yaho.com,,,Summer 2016,,$100.00,2024-07-25 00:00:00,$100.00
6523,Person,Michele,Burton,,2016-12-31 00:00:00,browneric@patton.biz,,,"Major Donor, Camp 2016",,,,
9432,Person,,,"Green, Evans and Evans",2021-02-13 00:00:00,joshuaparker@hotmal.com,perezsarah@yahoo.com,Marketing Manager,"Student Scholar, Summer 2016",Job Title: Marketing Manager; Marital Status: Married,$15000.00,2019-06-20 00:00:00,$10000.00
3194,Person,David,Villanueva,,2022-12-16 00:00:00,collierdiana@ortiz.com,,Marketing Manager,"Student Scholar, Pitch Perfect, Camp 2016",Job Title: Marketing Manager,$5050.00,2020-03-23 00:00:00,$5000.00
